                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88603,                 1.1167,                 2.3724,                0.86712,                0.02705,                0.98611,                 0.6921,                0.43739,                0.02686,                0.97917,                0.70842,                0.48396,                0.75165,                0.81124,                 2.9075,                0.80462,                0.00048,                0.00048,                0.00048
                      2,                0.80821,                0.88141,                0.93729,                0.85607,                0.02695,                0.98264,                0.09205,                0.07018,                0.02695,                0.98264,                0.09509,                0.07426,                0.77592,                0.84802,                  2.768,                0.83231,             0.00093149,             0.00093149,             0.00093149
                      3,                0.77928,                0.88859,                0.81545,                0.85584,                0.95815,                0.63596,                0.87646,                 0.6415,                0.95292,                0.63248,                0.86343,                0.62561,                0.83537,                0.84019,                 1.9609,                0.86269,              0.0013335,              0.0013335,              0.0013335
                      4,                0.79898,                0.84559,                0.75896,                0.85527,                 0.6758,                0.56455,                0.70646,                0.54783,                 0.6758,                0.56455,                0.70138,                0.53007,                0.79341,                0.90252,                 1.7765,                0.88299,               0.001686,               0.001686,               0.001686
                      5,                0.73322,                0.80855,                0.70149,                0.85088,                0.98166,                0.90625,                0.97984,                0.74911,                 0.9738,                0.89931,                 0.9736,                0.67105,                0.72623,                0.69426,                 1.1775,                0.85604,               0.001604,               0.001604,               0.001604
                      6,                0.72965,                0.76698,                0.66296,                0.84451,                0.94296,                0.96181,                0.98348,                0.78552,                0.95115,                0.95139,                0.96771,                0.71301,                0.68537,                0.79651,                0.86893,                0.85599,               0.001505,               0.001505,               0.001505
                      7,                 0.6988,                0.72756,                 0.6267,                0.84128,                0.98332,                0.96528,                0.98939,                0.81974,                0.98585,                0.96767,                0.99265,                 0.7443,                0.60604,                0.60239,                0.68899,                0.83279,               0.001406,               0.001406,               0.001406
                      8,                0.67195,                0.69239,                0.59312,                0.83259,                0.97808,                0.98264,                0.99393,                0.82454,                0.97235,                  0.977,                0.98986,                0.70335,                0.58979,                0.62894,                0.61415,                0.83076,               0.001307,               0.001307,               0.001307
                      9,                 0.6251,                0.68071,                0.56078,                  0.829,                0.98334,                0.97917,                0.99326,                0.81718,                0.97961,                0.97569,                0.99142,                  0.725,                0.55952,                0.63819,                0.56725,                0.82591,               0.001208,               0.001208,               0.001208
                     10,                0.62399,                0.68955,                0.53754,                 0.8257,                0.98606,                0.98233,                0.99384,                0.83425,                 0.9756,                0.97196,                 0.9845,                0.73405,                 0.5309,                 0.6703,                0.52665,                0.82715,               0.001109,               0.001109,               0.001109
                     11,                0.56082,                0.64063,                0.54266,                 0.8085,                 0.9947,                0.97569,                0.99434,                0.83995,                0.98408,                0.96528,                0.98546,                 0.7252,                0.49272,                0.58795,                 0.5507,                0.82237,                0.00101,                0.00101,                0.00101
                     12,                0.55942,                 0.6311,                0.53065,                 0.8098,                0.99649,                0.98497,                0.99462,                0.83795,                0.99649,                0.98497,                0.99462,                0.74341,                0.51264,                0.69344,                0.54485,                0.82417,               0.000911,               0.000911,               0.000911
                     13,                0.54464,                0.62633,                0.50528,                0.81332,                0.98049,                0.97569,                0.98831,                0.82915,                0.97002,                0.96528,                0.97398,                 0.7112,                0.53011,                0.71482,                0.51952,                0.82671,               0.000812,               0.000812,               0.000812
                     14,                0.54829,                0.63166,                0.49468,                 0.8083,                0.98954,                0.98574,                0.99415,                 0.8474,                0.98194,                0.96875,                0.98446,                0.71512,                0.47946,                0.59012,                0.49392,                0.81677,               0.000713,               0.000713,               0.000713
                     15,                0.52947,                0.61317,                0.47376,                0.80145,                 0.9974,                0.97917,                0.99466,                0.84109,                0.99356,                0.97569,                0.99363,                0.71985,                0.49336,                0.59122,                0.47025,                  0.823,               0.000614,               0.000614,               0.000614
                     16,                0.53651,                0.61314,                0.46226,                0.80275,                  0.993,                0.98537,                0.99466,                  0.841,                  0.993,                0.98537,                0.99431,                0.72553,                0.51509,                0.56663,                 0.4769,                0.82071,               0.000515,               0.000515,               0.000515
                     17,                0.51009,                0.59804,                0.44983,                0.80018,                  0.993,                0.98442,                0.99429,                0.83581,                0.98943,                0.97507,                0.98888,                0.71352,                0.48682,                0.58071,                0.45027,                0.82172,               0.000416,               0.000416,               0.000416
                     18,                0.50771,                 0.6045,                 0.4412,                0.80104,                0.99376,                0.98264,                 0.9944,                 0.8639,                0.99025,                0.97917,                0.99329,                0.73715,                0.46268,                0.55662,                0.43921,                0.81807,               0.000317,               0.000317,               0.000317
                     19,                0.47581,                0.55275,                0.41722,                0.79593,                0.99649,                0.98543,                0.99456,                 0.8618,                0.99298,                0.98196,                0.99348,                0.73819,                0.44057,                0.56121,                 0.4215,                0.81609,               0.000218,               0.000218,               0.000218
                     20,                0.47398,                 0.5495,                0.41256,                0.79782,                 0.9962,                0.98611,                0.99469,                0.86978,                  0.993,                0.98447,                0.99402,                0.73672,                0.43922,                0.54555,                0.41134,                0.81543,               0.000119,               0.000119,               0.000119
